area,code,year,total,0-14,15-64,65+
LATIN AMERICA AND THE CARIBBEAN,904,2035,739736,146358,492478,100900
LATIN AMERICA AND THE CARIBBEAN,904,2040,757027,141416,498561,117050
LATIN AMERICA AND THE CARIBBEAN,904,2045,770374,136886,499487,134001
LATIN AMERICA AND THE CARIBBEAN,904,2050,779841,132757,495779,151305
LATIN AMERICA AND THE CARIBBEAN,904,2055,785523,128853,488815,167854
LATIN AMERICA AND THE CARIBBEAN,904,2060,787457,124971,479601,182884
LATIN AMERICA AND THE CARIBBEAN,904,2065,785838,121142,468668,196027
LATIN AMERICA AND THE CARIBBEAN,904,2070,780997,117478,457472,206048
LATIN AMERICA AND THE CARIBBEAN,904,2075,773374,114128,446321,212925
LATIN AMERICA AND THE CARIBBEAN,904,2080,763532,111048,434108,218376
LATIN AMERICA AND THE CARIBBEAN,904,2085,751953,108167,421709,222077
LATIN AMERICA AND THE CARIBBEAN,904,2090,739180,105387,409767,224027
LATIN AMERICA AND THE CARIBBEAN,904,2095,725747,102685,398496,224565
LATIN AMERICA AND THE CARIBBEAN,904,2100,712013,100101,387839,224073
Caribbean,915,2015,43310,10826,28429,4054
Caribbean,915,2020,44679,10657,29315,4707
Caribbean,915,2025,45881,10449,30010,5423
Caribbean,915,2030,46887,10166,30241,6480
Caribbean,915,2035,47629,9802,30358,7469
Caribbean,915,2040,48107,9425,30374,8308
Caribbean,915,2045,48318,9066,30422,8830
Caribbean,915,2050,48258,8726,30110,9422
Caribbean,915,2055,47962,8399,29498,10065
Caribbean,915,2060,47450,8064,28828,10558
Caribbean,915,2065,46763,7730,28119,10914
Caribbean,915,2070,45963,7410,27406,11148
Caribbean,915,2075,45087,7115,26634,11338
Caribbean,915,2080,44156,6847,25797,11512
Caribbean,915,2085,43161,6598,24918,11644
Caribbean,915,2090,42118,6361,24059,11698
Caribbean,915,2095,41066,6132,23241,11693
Caribbean,915,2100,40022,5916,22468,11639
Antigua and Barbuda,28,2015,100,25,69,7
Antigua and Barbuda,28,2020,105,24,73,8
Antigua and Barbuda,28,2025,110,24,75,11
Antigua and Barbuda,28,2030,115,24,76,14
Antigua and Barbuda,28,2035,118,24,76,19
Antigua and Barbuda,28,2040,122,23,76,22
Antigua and Barbuda,28,2045,124,23,78,23
Antigua and Barbuda,28,2050,125,22,79,24
Antigua and Barbuda,28,2055,126,22,79,26
Antigua and Barbuda,28,2060,127,21,78,27
Antigua and Barbuda,28,2065,127,21,77,29
Antigua and Barbuda,28,2070,127,21,76,31
Antigua and Barbuda,28,2075,127,20,75,32
Antigua and Barbuda,28,2080,127,20,74,33
Antigua and Barbuda,28,2085,126,19,73,34
Antigua and Barbuda,28,2090,125,19,72,35
Antigua and Barbuda,28,2095,124,19,70,35
Antigua and Barbuda,28,2100,123,18,69,36
Aruba,533,2015,104,20,72,13
Aruba,533,2020,106,18,73,16
Aruba,533,2025,108,18,71,19
Aruba,533,2030,109,18,68,23
Aruba,533,2035,110,19,66,25
Aruba,533,2040,109,19,65,26
Aruba,533,2045,108,18,65,25
Aruba,533,2050,107,17,65,24
Aruba,533,2055,105,16,66,23
Aruba,533,2060,104,16,64,24
Aruba,533,2065,104,17,62,25
Aruba,533,2070,103,16,60,27
Aruba,533,2075,102,16,59,28
Aruba,533,2080,101,15,58,27
Aruba,533,2085,100,15,58,27
Aruba,533,2090,99,15,57,27
Aruba,533,2095,97,15,55,27
Aruba,533,2100,96,15,54,28
Bahamas,44,2015,387,80,275,32
Bahamas,44,2020,407,83,282,41
Bahamas,44,2025,425,84,289,53
Bahamas,44,2030,440,82,292,66
Bahamas,44,2035,452,80,296,76
Bahamas,44,2040,461,77,298,86
Bahamas,44,2045,469,76,301,92
Bahamas,44,2050,475,75,298,101
Bahamas,44,2055,479,76,294,110
Bahamas,44,2060,482,76,287,119
Bahamas,44,2065,483,74,283,125
Bahamas,44,2070,483,73,284,127
Bahamas,44,2075,482,72,281,129
Bahamas,44,2080,480,71,277,132
Bahamas,44,2085,477,71,273,134
Bahamas,44,2090,474,70,268,136
Bahamas,44,2095,471,69,264,138
Bahamas,44,2100,468,68,261,139
Barbados,52,2015,284,55,189,40
Barbados,52,2020,288,54,187,47
Barbados,52,2025,290,53,182,55
Barbados,52,2030,290,52,176,62
Barbados,52,2035,289,50,172,67
Barbados,52,2040,287,50,167,70
Barbados,52,2045,284,49,164,71
Barbados,52,2050,280,48,161,71
Barbados,52,2055,277,47,159,71
Barbados,52,2060,274,46,157,71
Barbados,52,2065,271,45,155,71
Barbados,52,2070,268,45,152,71
Barbados,52,2075,266,44,150,72
Barbados,52,2080,264,43,148,73
Barbados,52,2085,262,42,146,73
Barbados,52,2090,260,42,144,74
Barbados,52,2095,257,41,142,74
Barbados,52,2100,255,40,140,75
Cuba,192,2015,11461,1867,8001,1594
Cuba,192,2020,11495,1807,7839,1849
Cuba,192,2025,11513,1787,7644,2082
Cuba,192,2030,11496,1716,7199,2581
Cuba,192,2035,11411,1634,6732,3045
Cuba,192,2040,11266,1554,6313,3398
Cuba,192,2045,11071,1499,6155,3417
Cuba,192,2050,10823,1465,5970,3388
Cuba,192,2055,10524,1437,5651,3436
Cuba,192,2060,10188,1398,5416,3373
Cuba,192,2065,9837,1349,5220,3267
Cuba,192,2070,9512,1299,5080,3133
Cuba,192,2075,9229,1259,4960,3011
Cuba,192,2080,8985,1228,4793,2964
Cuba,192,2085,8749,1202,4631,2916
Cuba,192,2090,8518,1174,4481,2863
Cuba,192,2095,8309,1142,4354,2813
Cuba,192,2100,8119,1109,4246,2765
Curaçao,531,2015,158,30,104,24
Curaçao,531,2020,163,30,105,29
Curaçao,531,2025,168,31,104,34
Curaçao,531,2030,172,31,102,39
Curaçao,531,2035,175,31,103,42
Curaçao,531,2040,178,30,104,44
Curaçao,531,2045,180,30,106,44
Curaçao,531,2050,181,30,108,44
Curaçao,531,2055,183,30,109,44
Curaçao,531,2060,184,30,109,45
Curaçao,531,2065,185,30,109,47
Curaçao,531,2070,187,29,108,49
Curaçao,531,2075,188,29,108,51
Curaçao,531,2080,189,29,108,52
Curaçao,531,2085,189,29,107,54
Curaçao,531,2090,189,28,105,56
Curaçao,531,2095,189,28,104,57
Curaçao,531,2100,188,28,103,57
Dominican Republic,214,2015,10528,3154,6674,700
Dominican Republic,214,2020,11108,3139,7128,841
Dominican Republic,214,2025,11632,3084,7526,1022
Dominican Republic,214,2030,12098,3000,7869,1229
Dominican Republic,214,2035,12497,2907,8147,1442
Dominican Republic,214,2040,12831,2807,8365,1659
Dominican Republic,214,2045,13087,2699,8511,1877
Dominican Republic,214,2050,13265,2585,8565,2115
Dominican Republic,214,2055,13375,2472,8548,2354
Dominican Republic,214,2060,13423,2364,8463,2595
Dominican Republic,214,2065,13414,2263,8346,2805
Dominican Republic,214,2070,13354,2170,8164,3019
Dominican Republic,214,2075,13244,2083,7939,3222
Dominican Republic,214,2080,13088,2002,7686,3401
Dominican Republic,214,2085,12890,1924,7427,3540
Dominican Republic,214,2090,12657,1851,7167,3639
Dominican Republic,214,2095,12396,1783,6911,3702
Dominican Republic,214,2100,12114,1721,6662,3731
Grenada,308,2015,107,28,71,8
Grenada,308,2020,109,29,72,8
Grenada,308,2025,111,28,74,10
Grenada,308,2030,112,25,75,12
Grenada,308,2035,112,23,77,13
Grenada,308,2040,112,21,77,14
Grenada,308,2045,111,20,75,16
Grenada,308,2050,110,19,72,19
Grenada,308,2055,107,18,66,23
Grenada,308,2060,104,17,63,25
Grenada,308,2065,100,15,60,26
Grenada,308,2070,96,14,57,25
Grenada,308,2075,92,13,54,25
Grenada,308,2080,87,12,49,25
Grenada,308,2085,83,12,45,26
Grenada,308,2090,78,11,42,26
Grenada,308,2095,74,10,40,25
Grenada,308,2100,70,9,37,24
Guadeloupe,312,2015,450,88,289,74
Guadeloupe,312,2020,448,78,284,86
Guadeloupe,312,2025,447,74,275,99
Guadeloupe,312,2030,448,72,261,115
Guadeloupe,312,2035,447,74,247,126
Guadeloupe,312,2040,443,73,236,134
Guadeloupe,312,2045,435,70,234,131
Guadeloupe,312,2050,425,65,237,124
Guadeloupe,312,2055,414,61,239,114
Guadeloupe,312,2060,403,59,232,113
Guadeloupe,312,2065,394,58,220,116
Guadeloupe,312,2070,386,58,209,120
Guadeloupe,312,2075,379,56,201,122
Guadeloupe,312,2080,373,53,196,124
Guadeloupe,312,2085,366,51,193,123
Guadeloupe,312,2090,358,49,188,122
Guadeloupe,312,2095,350,48,181,121
Guadeloupe,312,2100,341,47,174,120
Haiti,332,2015,10711,3614,6601,496
Haiti,332,2020,11371,3626,7167,578
Haiti,332,2025,11986,3598,7719,669
Haiti,332,2030,12544,3549,8212,783
Haiti,332,2035,13036,3472,8664,900
Haiti,332,2040,13454,3380,9063,1011
Haiti,332,2045,13793,3280,9333,1179
Haiti,332,2050,14041,3171,9433,1437
Haiti,332,2055,14206,3057,9463,1685
Haiti,332,2060,14280,2938,9443,1900
Haiti,332,2065,14270,2821,9364,2085
Haiti,332,2070,14185,2709,9243,2234
Haiti,332,2075,14041,2604,9069,2369
Haiti,332,2080,13853,2503,8869,2482
Haiti,332,2085,13632,2406,8642,2584
Haiti,332,2090,13384,2315,8402,2668
Haiti,332,2095,13118,2229,8157,2732
Haiti,332,2100,12840,2149,7911,2781
Jamaica,388,2015,2872,674,1931,267
Jamaica,388,2020,2913,653,1959,301
Jamaica,388,2025,2934,636,1948,350
Jamaica,388,2030,2933,619,1906,407
Jamaica,388,2035,2908,561,1884,463
Jamaica,388,2040,2858,504,1843,512
Jamaica,388,2045,2789,456,1782,550
Jamaica,388,2050,2704,422,1687,595
Jamaica,388,2055,2607,395,1564,648
Jamaica,388,2060,2497,368,1431,698
Jamaica,388,2065,2376,336,1303,737
Jamaica,388,2070,2244,302,1209,734
Jamaica,388,2075,2106,270,1123,712
Jamaica,388,2080,1964,246,1045,672
Jamaica,388,2085,1822,227,940,656
Jamaica,388,2090,1685,209,844,632
Jamaica,388,2095,1556,191,763,602
Jamaica,388,2100,1436,172,697,567
Martinique,474,2015,386,71,246,69
Martinique,474,2020,385,66,240,79
Martinique,474,2025,384,60,233,92
Martinique,474,2030,382,59,217,106
Martinique,474,2035,379,58,204,116
Martinique,474,2040,373,58,194,122
Martinique,474,2045,365,57,190,118
Martinique,474,2050,355,54,189,112
Martinique,474,2055,344,51,186,107
Martinique,474,2060,333,49,186,99
Martinique,474,2065,324,47,180,97
Martinique,474,2070,316,47,172,98
Martinique,474,2075,310,46,163,101
Martinique,474,2080,305,44,160,100
Martinique,474,2085,299,43,156,101
Martinique,474,2090,294,41,153,100
Martinique,474,2095,288,40,149,99
Martinique,474,2100,282,39,144,98
Puerto Rico,630,2015,3674,686,2455,533
Puerto Rico,630,2020,3651,621,2442,587
Puerto Rico,630,2025,3623,569,2406,649
Puerto Rico,630,2030,3593,540,2340,713
Puerto Rico,630,2035,3544,512,2258,773
Puerto Rico,630,2040,3474,483,2168,824
Puerto Rico,630,2045,3386,451,2061,874
Puerto Rico,630,2050,3282,421,1946,915
Puerto Rico,630,2055,3169,396,1823,950
Puerto Rico,630,2060,3049,376,1687,985
Puerto Rico,630,2065,2923,359,1558,1006
Puerto Rico,630,2070,2792,342,1445,1005
Puerto Rico,630,2075,2658,324,1347,987
Puerto Rico,630,2080,2523,307,1272,944
Puerto Rico,630,2085,2390,291,1204,895
Puerto Rico,630,2090,2262,279,1140,844
Puerto Rico,630,2095,2143,268,1078,797
Puerto Rico,630,2100,2035,257,1022,756
Saint Lucia,662,2015,177,35,126,17
Saint Lucia,662,2020,181,32,130,19
Saint Lucia,662,2025,184,31,131,22
Saint Lucia,662,2030,186,30,129,27
Saint Lucia,662,2035,187,28,126,33
Saint Lucia,662,2040,187,26,123,37
Saint Lucia,662,2045,185,25,119,41
Saint Lucia,662,2050,182,23,113,46
Saint Lucia,662,2055,179,22,108,49
Saint Lucia,662,2060,174,22,99,53
Saint Lucia,662,2065,169,21,92,57
Saint Lucia,662,2070,164,20,87,57
Saint Lucia,662,2075,158,19,83,56
Saint Lucia,662,2080,152,18,79,54
Saint Lucia,662,2085,145,18,75,52
Saint Lucia,662,2090,139,17,72,50
Saint Lucia,662,2095,133,17,69,47
Saint Lucia,662,2100,128,16,66,45
Saint Vincent and the Grenadines,670,2015,109,27,75,8
Saint Vincent and the Grenadines,670,2020,111,25,76,9
Saint Vincent and the Grenadines,670,2025,112,24,76,12
Saint Vincent and the Grenadines,670,2030,112,22,75,15
Saint Vincent and the Grenadines,670,2035,112,21,75,17
Saint Vincent and the Grenadines,670,2040,112,20,74,18
Saint Vincent and the Grenadines,670,2045,111,19,73,20
Saint Vincent and the Grenadines,670,2050,109,18,70,21
Saint Vincent and the Grenadines,670,2055,107,17,68,23
Saint Vincent and the Grenadines,670,2060,105,16,65,24
Saint Vincent and the Grenadines,670,2065,102,15,62,25
Saint Vincent and the Grenadines,670,2070,99,14,59,26
Saint Vincent and the Grenadines,670,2075,95,14,56,26
Saint Vincent and the Grenadines,670,2080,92,13,52,26
Saint Vincent and the Grenadines,670,2085,88,12,50,26
Saint Vincent and the Grenadines,670,2090,84,12,47,26
Saint Vincent and the Grenadines,670,2095,81,11,44,26
Saint Vincent and the Grenadines,670,2100,77,10,42,25
Trinidad and Tobago,780,2015,1360,283,949,128
Trinidad and Tobago,780,2020,1378,278,948,152
Trinidad and Tobago,780,2025,1381,259,945,176
Trinidad and Tobago,780,2030,1374,237,933,204
Trinidad and Tobago,780,2035,1361,222,924,215
Trinidad and Tobago,780,2040,1343,216,902,226
Trinidad and Tobago,780,2045,1322,214,867,241
Trinidad and Tobago,780,2050,1295,210,814,271
Trinidad and Tobago,780,2055,1263,201,774,288
Trinidad and Tobago,780,2060,1227,190,752,285
Trinidad and Tobago,780,2065,1190,181,736,273
Trinidad and Tobago,780,2070,1154,176,713,265
Trinidad and Tobago,780,2075,1121,173,682,265
Trinidad and Tobago,780,2080,1090,170,651,269
Trinidad and Tobago,780,2085,1061,165,627,269
Trinidad and Tobago,780,2090,1034,159,610,264
Trinidad and Tobago,780,2095,1008,153,596,258
Trinidad and Tobago,780,2100,983,149,581,253
United States Virgin Islands,850,2015,105,21,65,18
United States Virgin Islands,850,2020,105,21,63,21
United States Virgin Islands,850,2025,104,19,60,24
United States Virgin Islands,850,2030,102,18,58,26
United States Virgin Islands,850,2035,99,17,55,27
United States Virgin Islands,850,2040,96,16,53,27
United States Virgin Islands,850,2045,93,15,51,26
United States Virgin Islands,850,2050,89,14,50,24
United States Virgin Islands,850,2055,85,13,49,23
United States Virgin Islands,850,2060,81,12,47,22
United States Virgin Islands,850,2065,78,11,44,22
United States Virgin Islands,850,2070,75,11,42,22
United States Virgin Islands,850,2075,72,10,39,23
United States Virgin Islands,850,2080,69,9,36,24
United States Virgin Islands,850,2085,66,8,34,24
United States Virgin Islands,850,2090,62,8,31,23
United States Virgin Islands,850,2095,59,7,29,23
United States Virgin Islands,850,2100,56,7,27,22
Central America,916,2015,172635,49339,112457,10839
Central America,916,2020,184127,48792,121966,13369
Central America,916,2025,194812,48224,130220,16368
Central America,916,2030,204496,47029,137611,19857
Central America,916,2035,213029,45496,143414,24118
Central America,916,2040,220399,43899,146798,29702
Central America,916,2045,226590,42435,148962,35193
Central America,916,2050,231563,41118,149924,40521
Central America,916,2055,235294,39899,149448,45947
Central America,916,2060,237730,38672,147613,51445
Central America,916,2065,238890,37459,144783,56647
Central America,916,2070,238851,36280,141667,60904
Central America,916,2075,237755,35206,138422,64127
Central America,916,2080,235786,34228,134680,66878
Central America,916,2085,233032,33324,130761,68946
Central America,916,2090,229631,32462,126915,70255
Central America,916,2095,225781,31616,123291,70874
Central America,916,2100,221657,30799,119890,70968
Belize,84,2015,359,117,229,14
Belize,84,2020,398,119,262,16
Belize,84,2025,436,125,291,21
Belize,84,2030,473,128,317,27
Belize,84,2035,507,129,344,34
Belize,84,2040,538,127,368,42
Belize,84,2045,566,126,390,50
Belize,84,2050,592,125,407,61
Belize,84,2055,616,124,419,73
Belize,84,2060,635,123,426,87
Belize,84,2065,652,121,429,101
Belize,84,2070,665,119,431,114
Belize,84,2075,674,117,434,123
Belize,84,2080,681,115,434,132
Belize,84,2085,685,114,430,141
Belize,84,2090,688,112,425,150
Belize,84,2095,688,111,419,158
Belize,84,2100,688,109,414,165
Costa Rica,188,2015,4808,1073,3307,428
Costa Rica,188,2020,5044,1052,3466,526
Costa Rica,188,2025,5247,1018,3570,660
Costa Rica,188,2030,5417,981,3618,819
Costa Rica,188,2035,5554,942,3645,967
Costa Rica,188,2040,5659,907,3666,1086
Costa Rica,188,2045,5733,879,3636,1218
Costa Rica,188,2050,5774,856,3553,1365
Costa Rica,188,2055,5784,835,3439,1510
Costa Rica,188,2060,5765,812,3319,1634
Costa Rica,188,2065,5723,790,3207,1726
Costa Rica,188,2070,5660,770,3120,1771
Costa Rica,188,2075,5577,751,3026,1800
Costa Rica,188,2080,5476,735,2935,1805
Costa Rica,188,2085,5363,720,2847,1796
Costa Rica,188,2090,5247,705,2768,1774
Costa Rica,188,2095,5134,690,2696,1749
Costa Rica,188,2100,5028,675,2630,1723
El Salvador,222,2015,6312,1787,4025,501
El Salvador,222,2020,6479,1718,4190,571
El Salvador,222,2025,6641,1669,4324,648
El Salvador,222,2030,6786,1609,4438,739
El Salvador,222,2035,6887,1514,4535,838
El Salvador,222,2040,6962,1411,4605,946
El Salvador,222,2045,6997,1316,4622,1059
El Salvador,222,2050,6997,1239,4592,1166
El Salvador,222,2055,6968,1176,4492,1300
El Salvador,222,2060,6906,1116,4299,1491
El Salvador,222,2065,6810,1052,4076,1682
El Salvador,222,2070,6681,987,3902,1791
El Salvador,222,2075,6519,928,3733,1858
El Salvador,222,2080,6327,877,3555,1895
El Salvador,222,2085,6108,833,3357,1918
El Salvador,222,2090,5874,793,3163,1918
El Salvador,222,2095,5636,755,2987,1894
El Salvador,222,2100,5404,717,2833,1854
Guatemala,320,2015,16252,5889,9631,733
Guatemala,320,2020,17911,5971,11037,902
Guatemala,320,2025,19573,6134,12359,1079
Guatemala,320,2030,21203,6252,13669,1281
Guatemala,320,2035,22772,6282,14953,1537
Guatemala,320,2040,24264,6246,16138,1881
Guatemala,320,2045,25666,6170,17154,2343
Guatemala,320,2050,26968,6076,17971,2921
Guatemala,320,2055,28156,5972,18624,3560
Guatemala,320,2060,29216,5862,19039,4315
Guatemala,320,2065,30124,5737,19271,5116
Guatemala,320,2070,30867,5603,19353,5911
Guatemala,320,2075,31437,5459,19416,6561
Guatemala,320,2080,31838,5321,19375,7142
Guatemala,320,2085,32077,5187,19213,7677
Guatemala,320,2090,32172,5061,18960,8151
Guatemala,320,2095,32145,4937,18652,8556
Guatemala,320,2100,32020,4815,18312,8893
Honduras,340,2015,8961,2956,5609,396
Honduras,340,2020,9719,2898,6327,494
Honduras,340,2025,10455,2871,6968,615
Honduras,340,2030,11147,2872,7513,761
Honduras,340,2035,11779,2829,8003,947
Honduras,340,2040,12339,2749,8423,1167
Honduras,340,2045,12831,2655,8737,1439
Honduras,340,2050,13249,2563,8933,1753
Honduras,340,2055,13591,2483,9016,2092
Honduras,340,2060,13856,2411,8983,2462
Honduras,340,2065,14041,2344,8869,2828
Honduras,340,2070,14142,2274,8706,3162
Honduras,340,2075,14165,2204,8543,3418
Honduras,340,2080,14116,2136,8393,3587
Honduras,340,2085,14007,2076,8201,3730
Honduras,340,2090,13848,2021,7982,3845
Honduras,340,2095,13654,1971,7754,3929
Honduras,340,2100,13437,1921,7536,3980
Mexico,484,2015,125891,34585,83146,8160
Mexico,484,2020,133870,34115,89659,10096
Mexico,484,2025,141132,33541,95206,12384
Mexico,484,2030,147540,32388,100099,15053
Mexico,484,2035,153061,31077,103609,18374
Mexico,484,2040,157690,29807,105012,22871
Mexico,484,2045,161436,28709,105674,27053
Mexico,484,2050,164279,27748,105658,30873
Mexico,484,2055,166206,26870,104661,34675
Mexico,484,2060,167182,25983,102805,38394
Mexico,484,2065,167250,25121,100288,41841
Mexico,484,2070,166496,24300,97639,44557
Mexico,484,2075,165059,23581,94929,46550
Mexico,484,2080,163098,22935,91849,48313
Mexico,484,2085,160660,22341,88778,49540
Mexico,484,2090,157826,21769,85884,50173
Mexico,484,2095,154729,21204,83247,50278
Mexico,484,2100,151491,20663,80822,50006
Nicaragua,558,2015,6082,1827,3946,309
Nicaragua,558,2020,6417,1777,4243,396
Nicaragua,558,2025,6732,1705,4519,509
Nicaragua,558,2030,7046,1634,4791,622
Nicaragua,558,2035,7318,1557,5011,750
Nicaragua,558,2040,7549,1487,5149,912
Nicaragua,558,2045,7735,1424,5200,1110
Nicaragua,558,2050,7876,1366,5164,1345
Nicaragua,558,2055,7972,1310,5075,1588
Nicaragua,558,2060,8022,1254,4957,1811
Nicaragua,558,2065,8024,1202,4823,1999
Nicaragua,558,2070,7977,1154,4678,2146
Nicaragua,558,2075,7886,1110,4506,2270
Nicaragua,558,2080,7757,1071,4329,2356
Nicaragua,558,2085,7600,1034,4156,2410
Nicaragua,558,2090,7425,999,3995,2431
Nicaragua,558,2095,7240,966,3847,2427
Nicaragua,558,2100,7049,935,3709,2405
Panama,591,2015,3969,1106,2564,300
Panama,591,2020,4289,1141,2781,368
Panama,591,2025,4596,1161,2983,452
Panama,591,2030,4884,1165,3165,555
Panama,591,2035,5151,1166,3314,671
Panama,591,2040,5399,1164,3439,797
Panama,591,2045,5626,1156,3548,921
Panama,591,2050,5827,1144,3645,1038
Panama,591,2055,6001,1129,3723,1149
Panama,591,2060,6147,1110,3784,1252
Panama,591,2065,6267,1092,3819,1356
Panama,591,2070,6363,1074,3838,1452
Panama,591,2075,6439,1056,3835,1548
Panama,591,2080,6494,1037,3811,1646
Panama,591,2085,6532,1019,3779,1734
Panama,591,2090,6551,1000,3738,1813
Panama,591,2095,6553,982,3689,1882
Panama,591,2100,6540,964,3635,1941
South America,931,2015,416436,101623,281577,33236
South America,931,2020,435667,99307,295762,40598
South America,931,2025,452588,97137,306280,49171
South America,931,2030,467100,94197,313726,59177
South America,931,2035,479078,91060,318706,69313
South America,931,2040,488521,88092,321389,79040
South America,931,2045,495467,85385,320103,89978
South America,931,2050,500020,82913,315745,101362
South America,931,2055,502267,80556,309869,111842
South America,931,2060,502277,78235,303160,120881
South America,931,2065,500185,75952,295766,128466
South America,931,2070,496182,73788,288399,133996
South America,931,2075,490532,71806,281265,137460
South America,931,2080,483590,69973,273631,139986
South America,931,2085,475761,68246,266029,141486
South America,931,2090,467431,66564,258793,142074
South America,931,2095,458900,64937,251964,141999
South America,931,2100,450333,63386,245481,141466
Argentina,32,2015,43418,10940,27734,4744
Argentina,32,2020,45510,11056,29164,5290
Argentina,32,2025,47480,11079,30533,5868
Argentina,32,2030,49323,10994,31878,6452
Argentina,32,2035,51028,10883,33087,7058
Argentina,32,2040,52586,10765,33983,7837
Argentina,32,2045,53989,10635,34397,8956
Argentina,32,2050,55229,10490,34819,9920
Argentina,32,2055,56286,10319,35075,10892
Argentina,32,2060,57142,10127,35180,11835
Argentina,32,2065,57788,9929,35245,12614
Argentina,32,2070,58221,9738,35104,13380
Argentina,32,2075,58468,9560,34833,14075
Argentina,32,2080,58561,9385,34429,14747
Argentina,32,2085,58526,9208,33973,15345
Argentina,32,2090,58370,9027,33492,15852
Argentina,32,2095,58106,8846,32981,16279
Argentina,32,2100,57747,8673,32443,16631
Bolivia (Plurinational State of),68,2015,10725,3480,6552,693
Bolivia (Plurinational State of),68,2020,11544,3522,7202,820
Bolivia (Plurinational State of),68,2025,12360,3575,7843,942
Bolivia (Plurinational State of),68,2030,13158,3633,8452,1073
Bolivia (Plurinational State of),68,2035,13925,3652,9043,1230
Bolivia (Plurinational State of),68,2040,14643,3638,9578,1428
Bolivia (Plurinational State of),68,2045,15304,3599,10027,1678
Bolivia (Plurinational State of),68,2050,15903,3549,10391,1964
Bolivia (Plurinational State of),68,2055,16435,3489,10679,2267
Bolivia (Plurinational State of),68,2060,16895,3424,10883,2588
Bolivia (Plurinational State of),68,2065,17275,3350,11002,2923
Bolivia (Plurinational State of),68,2070,17574,3270,11061,3243
Bolivia (Plurinational State of),68,2075,17797,3187,11080,3531
Bolivia (Plurinational State of),68,2080,17947,3104,11062,3781
Bolivia (Plurinational State of),68,2085,18032,3024,10985,4024
Bolivia (Plurinational State of),68,2090,18056,2946,10859,4252
Bolivia (Plurinational State of),68,2095,18026,2870,10698,4458
Bolivia (Plurinational State of),68,2100,17946,2795,10515,4637
Brazil,76,2015,205962,46363,143204,16395
Brazil,76,2020,213863,44239,149204,20420
Brazil,76,2025,220371,42658,152607,25106
Brazil,76,2030,225472,40688,154198,30586
Brazil,76,2035,229203,38734,154497,35972
Brazil,76,2040,231602,36979,153437,41186
Brazil,76,2045,232724,35468,150235,47022
Brazil,76,2050,232688,34183,145239,53266
Brazil,76,2055,231538,33045,140063,58430
Brazil,76,2060,229293,31988,134814,62491
Brazil,76,2065,226037,30958,129133,65946
Brazil,76,2070,221895,29991,124059,67845
Brazil,76,2075,217053,29124,119733,68196
Brazil,76,2080,211763,28353,115329,68081
Brazil,76,2085,206258,27649,111161,67448
Brazil,76,2090,200775,26968,107383,66423
Brazil,76,2095,195471,26306,104000,65165
Brazil,76,2100,190423,25672,100922,63829
Chile,152,2015,17763,3701,12211,1851
Chile,152,2020,18473,3629,12585,2258
Chile,152,2025,19099,3543,12830,2726
Chile,152,2030,19637,3471,12926,3240
Chile,152,2035,20059,3381,12905,3773
Chile,152,2040,20379,3285,12877,4217
Chile,152,2045,20598,3198,12818,4583
Chile,152,2050,20718,3125,12635,4958
Chile,152,2055,20747,3064,12304,5379
Chile,152,2060,20697,3006,11965,5726
Chile,152,2065,20583,2948,11671,5965
Chile,152,2070,20414,2886,11416,6112
Chile,152,2075,20197,2827,11151,6219
Chile,152,2080,19939,2773,10908,6257
Chile,152,2085,19647,2726,10661,6260
Chile,152,2090,19343,2681,10419,6244
Chile,152,2095,19044,2635,10188,6221
Chile,152,2100,18757,2588,9976,6193
Colombia,170,2015,48229,11713,33121,3395
Colombia,170,2020,50220,11183,34680,4357
Colombia,170,2025,51854,10660,35715,5479
Colombia,170,2030,53134,10177,36163,6795
Colombia,170,2035,54055,9715,36177,8163
Colombia,170,2040,54615,9306,36108,9201
Colombia,170,2045,54834,8940,35591,10303
Colombia,170,2050,54733,8602,34675,11456
Colombia,170,2055,54361,8288,33581,12492
Colombia,170,2060,53765,7991,32372,13403
Colombia,170,2065,52985,7716,31232,14037
Colombia,170,2070,52049,7463,30027,14559
Colombia,170,2075,50973,7232,28894,14848
Colombia,170,2080,49783,7017,27845,14921
Colombia,170,2085,48533,6815,26861,14857
Colombia,170,2090,47270,6622,25966,14681
Colombia,170,2095,46026,6442,25139,14444
Colombia,170,2100,44826,6271,24373,14182
Ecuador,218,2015,16144,4685,10377,1082
Ecuador,218,2020,17336,4786,11192,1357
Ecuador,218,2025,18478,4818,11986,1674
Ecuador,218,2030,19555,4793,12732,2030
Ecuador,218,2035,20554,4737,13385,2432
Ecuador,218,2040,21462,4664,13933,2864
Ecuador,218,2045,22269,4579,14380,3309
Ecuador,218,2050,22968,4483,14704,3781
Ecuador,218,2055,23560,4377,14891,4292
Ecuador,218,2060,24042,4264,14979,4798
Ecuador,218,2065,24411,4151,14985,5275
Ecuador,218,2070,24670,4042,14942,5686
Ecuador,218,2075,24823,3938,14802,6083
Ecuador,218,2080,24877,3838,14588,6450
Ecuador,218,2085,24839,3742,14328,6768
Ecuador,218,2090,24726,3649,14044,7033
Ecuador,218,2095,24551,3559,13745,7246
Ecuador,218,2100,24321,3475,13436,7409
French Guiana,254,2015,269,91,165,13
French Guiana,254,2020,304,97,189,18
French Guiana,254,2025,341,102,214,25
French Guiana,254,2030,379,108,238,33
